id,owner_id,creation_date,count,name,content
1,ABCDE,2023/09/25 10:15:01,100,George Orwell,Big Brother is watching you.
2,12345,2023/09/25 11:20:02,75,Jane Austen,It is a truth universally acknowledged that a single man in possession of a good fortune must be in want of a wife.
3,XYZ12,2023/09/25 12:35:03,50,Charles Dickens,It was the best of times it was the worst of times.
4,ABCDE,2023/09/25 14:40:04,120,Mark Twain,The only way to do great work is to love what you do.
5,54321,2023/09/25 16:55:05,90,J.K. Rowling,It does not do to dwell on dreams and forget to live.
6,PQRST,2023/09/25 18:10:06,60,Ernest Hemingway,There is no friend as loyal as a book.
7,ABCDE,2023/09/25 19:25:07,110,Leo Tolstoy,All happy families are alike each unhappy family is unhappy in its own way.
8,67890,2023/09/25 20:30:08,85,Harper Lee,You never really understand a person until you consider things from his point of view.
9,ABCDE,2023/09/25 21:45:09,130,F. Scott Fitzgerald,So we beat on boats against the current borne back ceaselessly into the past.
10,MNO12,2023/09/25 22:55:10,70,Agatha Christie,The impossible could not have happened therefore the impossible must be possible in spite of appearances.
11,ABCDE,2023/09/26 09:15:11,105,William Faulkner,The past is never dead. It's not even past.
12,23456,2023/09/26 10:30:12,95,Emily Bronte,Whatever our souls are made of his and mine are the same.
13,ABCDE,2023/09/26 11:45:13,55,J.R.R. Tolkien,Not all those who wander are lost.
14,WXYZ1,2023/09/26 13:00:14,125,George R.R. Martin,Winter is coming.
15,ABCDE,2023/09/26 14:15:15,80,Markus Zusak,I am haunted by humans.
16,34567,2023/09/26 15:30:16,65,Virginia Woolf,Lock up your libraries if you like but there is no gate no lock no bolt that you can set upon the freedom of my mind.
17,ABCDE,2023/09/26 16:45:17,115,Albert Camus,In the depth of winter I finally learned that there was in me an invincible summer.
18,45678,2023/09/26 18:00:18,75,Louisa May Alcott,Life is my college. May I graduate well and earn some honors!
19,ABCDE,2023/09/26 19:15:19,135,Oscar Wilde,To live is the rarest thing in the world. Most people exist that is all.
20,BCD12,2023/09/26 20:25:20,90,Robert Frost,Two roads diverged in a wood and I took the one less traveled by And that has made all the difference.
21,ABCDE,2023/09/27 09:45:21,100,Charlotte Bronte,I am no bird and no net ensnares me: I am a free human being with an independent will.
22,56789,2023/09/27 11:00:22,70,Ernest Hemingway,There is no hunting like the hunting of man and those who have hunted armed men long enough and liked it never care for anything else thereafter.
23,ABCDE,2023/09/27 12:15:23,50,Herman Melville,Call me Ishmael.
24,DEFG1,2023/09/27 13:30:24,120,John Steinbeck,I've done a lot of living in my time but the saddest thing I've ever seen is a human being with a closed mind.
25,ABCDE,2023/09/27 14:45:25,85,Victor Hugo,Even the darkest night will end and the sun will rise.
26,67890,2023/09/27 16:00:26,60,Maya Angelou,You may not control all the events that happen to you but you can decide not to be reduced by them.
27,ABCDE,2023/09/27 17:15:27,110,Leo Tolstoy,If you look for perfection you'll never be content.
28,78901,2023/09/27 18:30:28,75,Haruki Murakami,Pain is inevitable. Suffering is optional.
29,ABCDE,2023/09/27 19:45:29,130,George Orwell,War is peace. Freedom is slavery. Ignorance is strength.
30,XYZ12,2023/09/27 21:00:30,95,Albert Einstein,Imagination is more important than knowledge. For knowledge is limited whereas imagination embraces the entire world stimulating progress giving birth to evolution.
